idx,instance_key,kept_count,total,kept_ids,removed_ids,lp,ilp,ratio
173,f758530d82f116e7e7a0fc1ca68871fa,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
174,3e022f5ba8555e7b290c7b4159661190,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
175,374866ca04599f6b5e11f295f4ee794a,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
176,0c96668aad1ca4b686e2f33b0ffe5283,12,14,1;2;4;5;6;7;8;9;10;11;13;14,3;12,6.000000,4.000000,1.500000
177,97ed814653dadc2ed0ca09ebe1a0b40f,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
178,f08d93ebaf1a9555a0ef343f6082f05e,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
179,7dfc901432833337d786d999a87b79d1,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
180,27c55f9139a1b476666c555b313bdedb,12,14,1;2;4;5;6;7;8;9;10;11;13;14,3;12,6.000000,4.000000,1.500000
181,b7757c5d493c7a607753265540ddfcfc,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
182,9cfe33d23acb7bbd68905ace73ad5420,12,14,1;2;4;5;6;7;8;9;10;11;13;14,3;12,6.000000,4.000000,1.500000
183,b041f613b62a09d66fe35446af490c28,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
184,b288ce5e4b0a99f2c8b2b61df8f76f57,12,14,1;2;3;4;5;7;8;9;10;11;12;14,6;13,6.000000,4.000000,1.500000
185,019680b22b6604bc15e56eb3a36f901e,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
186,18f605b619a456f181d53d4285e6a6a6,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
187,4123866eb4476fbce6e2c30b8dca02e5,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
188,ee2879f0325c7217dd938325a89d520b,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
189,65dfdee09ed21f240338f04d4422b27a,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
190,e4c6bf4d7e013673db30e7e9067d3100,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
191,2321baa0083007a6d91536db82abbf00,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
192,557c2f39dd805441890597646a2ad853,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
193,e52a99d3b89a9a81dd79d88f7d82b165,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
194,333523bde7d9dae7b423815939b0375f,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
195,0d546398a0f31f2bccbc6f1f343c963e,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
196,986c01e4dffaebebc1038aa5d4b32338,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
197,d8bb3a65b78ef57ff46d8913a4678a39,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
