idx,instance_key,kept_count,total,kept_ids,removed_ids,lp,ilp,ratio
61,9d8e110eef41ba808a99075b99024adf,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
62,d1ad5e55d9b1ea719a10b10fe1d1590c,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
63,1838b6a0b4e87387143cbbe37b3940f9,12,14,1;2;4;5;6;7;8;9;11;12;13;14,3;10,6.000000,4.000000,1.500000
64,7317a796e4104dd2a687f8f95c68d17e,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
65,e42263ea1ac81db63cca9b1b3c106bc4,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
66,5bdb9bbb771768e0f6f4b8be65bef994,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
67,c31d7545aa15ec5e8782e3bdab35598c,12,14,1;2;4;5;6;7;9;10;11;12;13;14,3;8,6.000000,4.000000,1.500000
68,1415db8b30a5b5c271b4e9d5d2925f54,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
69,78e0c6c582d508b8b04528ef4a4d8aa9,12,14,1;2;3;5;6;7;8;9;10;11;12;14,4;13,6.000000,4.000000,1.500000
70,77fbabab1e45585182f9cee72caebcea,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
71,0f0c61329e30819507ca24d24035fc8b,12,14,1;2;3;4;5;7;8;9;10;11;12;14,6;13,6.000000,4.000000,1.500000
72,7947a82dadf4a605acc89cf67fd573b7,13,14,1;2;3;4;5;6;7;8;9;10;11;12;14,13,6.000000,4.000000,1.500000
73,2651bc15e708f9bf697db679c62bf926,12,14,1;2;3;4;5;7;8;9;10;11;12;14,6;13,6.000000,4.000000,1.500000
74,5cce19a384886825b3b767dc0ecdba98,12,14,1;2;3;4;5;7;8;9;10;11;12;14,6;13,6.000000,4.000000,1.500000
75,8c86a3f75e457554bf002199f4e73acd,12,14,1;2;3;4;5;7;8;9;10;11;12;14,6;13,6.000000,4.000000,1.500000
76,136c9bee499bfe06640b032ac8232c78,12,14,1;2;3;4;5;7;8;9;10;11;12;14,6;13,6.000000,4.000000,1.500000
77,717932063ba69b6d59c095ffa35b6f25,12,14,1;2;3;4;5;7;8;9;11;12;13;14,6;10,6.000000,4.000000,1.500000
